ADL14_2_1.fq.gz	A7_ADL14_Rep2_1.fq.gz
ADL14_3_2.fq.gz	A7_ADL14_Rep3_2.fq.gz
ADL10_3_2.fq.gz	A6_ADL10_Rep3_2.fq.gz
ADL10_2_1.fq.gz	A6_ADL10_Rep2_1.fq.gz
ADL09_1_1.fq.gz	A5_ADL09_Rep1_1.fq.gz
ADL06_1_2.fq.gz	A4_ADL06_Rep1_2.fq.gz
ADL09_1_2.fq.gz	A5_ADL09_Rep1_2.fq.gz
ADL10_2_2.fq.gz	A6_ADL10_Rep2_2.fq.gz
ADL10_3_1.fq.gz	A6_ADL10_Rep3_1.fq.gz
ADL06_1_1.fq.gz	A4_ADL06_Rep1_1.fq.gz
ADL14_3_1.fq.gz	A7_ADL14_Rep3_1.fq.gz
ADL14_2_2.fq.gz	A7_ADL14_Rep2_2.fq.gz
ADL09_3_2.fq.gz	A5_ADL09_Rep3_2.fq.gz
ADL09_2_1.fq.gz	A5_ADL09_Rep2_1.fq.gz
ADL10_1_1.fq.gz	A6_ADL10_Rep1_1.fq.gz
ADL06_2_2.fq.gz	A4_ADL06_Rep2_2.fq.gz
ADL06_3_1.fq.gz	A4_ADL06_Rep3_1.fq.gz
ADL14_1_1.fq.gz	A7_ADL14_Rep1_1.fq.gz
ADL14_1_2.fq.gz	A7_ADL14_Rep1_2.fq.gz
ADL10_1_2.fq.gz	A6_ADL10_Rep1_2.fq.gz
ADL09_2_2.fq.gz	A5_ADL09_Rep2_2.fq.gz
ADL09_3_1.fq.gz	A5_ADL09_Rep3_1.fq.gz
ADL06_3_2.fq.gz	A4_ADL06_Rep3_2.fq.gz
ADL06_2_1.fq.gz	A4_ADL06_Rep2_1.fq.gz
